"N","Jaccard","Diversity","Rounds","instance_id","bias_zipf"
"2",0.144,14,100,26,TRUE
"2",0.046,12,100,27,TRUE
"2",0.082,15,100,28,TRUE
"2",0.127,14,100,29,TRUE
"2",0.086,13,100,3,TRUE
"2",0.102,14,100,30,TRUE
"2",0.149,16,100,31,TRUE
"2",0.063,13,100,32,TRUE
"2",0.046,10,100,33,TRUE
"2",0.043,12,100,34,TRUE
"2",0.137,15,100,35,TRUE
"2",0.133,15,100,36,TRUE
"2",0.055,14,100,37,TRUE
"2",0.095,10,100,38,TRUE
"2",0.098,11,100,39,TRUE
"2",0.134,13,100,4,TRUE
"2",0.134,13,100,40,TRUE
"2",0.049,16,100,5,TRUE
"2",0.075,10,100,6,TRUE
"2",0.095,14,100,7,TRUE
"2",0.18,17,100,8,TRUE
"2",0.13,18,100,9,TRUE
"200",0.544,33,100,1,TRUE
"200",0.727,34,100,10,TRUE
"200",0.644,42,100,11,TRUE
"200",0.727,33,100,12,TRUE
"200",0.727,37,100,13,TRUE
"200",0.585,32,100,14,TRUE
"200",0.727,32,100,15,TRUE
"200",0.593,39,100,16,TRUE
"200",0.601,32,100,17,TRUE
"200",0.644,38,100,18,TRUE
"200",0.612,37,100,19,TRUE
"200",0.527,42,100,2,TRUE
"200",0.571,48,100,20,TRUE
"200",0.596,36,100,21,TRUE
"200",0.644,37,100,22,TRUE
"200",0.544,32,100,23,TRUE
"200",0.571,37,100,24,TRUE
"200",0.644,38,100,25,TRUE
"200",0.585,47,100,26,TRUE
"200",0.585,38,100,27,TRUE
"200",0.544,39,100,28,TRUE
"200",0.593,37,100,29,TRUE
"200",0.596,46,100,3,TRUE
"200",0.612,35,100,30,TRUE
"200",0.727,35,100,4,TRUE
"200",0.552,33,100,5,TRUE
"200",0.486,42,100,6,TRUE
"200",0.727,36,100,7,TRUE
"200",0.56,34,100,8,TRUE
"200",0.727,36,100,9,TRUE
"24",0.174,33,100,1,TRUE
"24",0.183,31,100,10,TRUE
"24",0.09,32,100,11,TRUE
"24",0.214,37,100,12,TRUE
"24",0.214,31,100,13,TRUE
"24",0.299,34,100,14,TRUE
"24",0.297,31,100,15,TRUE
"24",0.23,38,100,16,TRUE
"24",0.224,27,100,17,TRUE
"24",0.279,38,100,18,TRUE
"24",0.198,35,100,19,TRUE
"24",0.219,33,100,2,TRUE
"24",0.116,34,100,20,TRUE
"24",0.189,31,100,21,TRUE
"24",0.321,33,100,22,TRUE
"24",0.148,34,100,23,TRUE
"24",0.321,32,100,24,TRUE
"24",0.189,41,100,25,TRUE
"24",0.148,32,100,26,TRUE
"24",0.189,25,100,27,TRUE
"24",0.237,32,100,28,TRUE
"24",0.279,37,100,29,TRUE
"24",0.299,29,100,3,TRUE
"24",0.197,31,100,30,TRUE
"24",0.203,24,100,31,TRUE
"24",0.279,36,100,32,TRUE
"24",0.222,30,100,33,TRUE
"24",0.207,31,100,34,TRUE
"24",0.188,33,100,35,TRUE
"24",0.219,29,100,36,TRUE
"24",0.116,24,100,37,TRUE
"24",0.279,29,100,38,TRUE
"24",0.303,35,100,39,TRUE
"24",0.289,32,100,4,TRUE
"24",0.227,40,100,40,TRUE
"24",0.183,38,100,5,TRUE
"24",0.279,34,100,6,TRUE
"24",0.237,29,100,7,TRUE
"24",0.105,26,100,8,TRUE
"24",0.218,32,100,9,TRUE
"300",0.707,44,100,1,TRUE
"300",0.742,50,100,10,TRUE
"300",0.777,43,100,11,TRUE
"300",0.777,44,100,12,TRUE
"300",0.777,44,100,13,TRUE
"300",0.742,44,100,14,TRUE
"300",0.777,38,100,15,TRUE
"300",0.777,30,100,16,TRUE
"300",0.742,37,100,17,TRUE
"300",0.777,40,100,18,TRUE
"300",0.707,35,100,19,TRUE
"300",0.777,40,100,2,TRUE
"300",0.707,37,100,20,TRUE
"300",0.742,35,100,3,TRUE
"300",0.777,40,100,4,TRUE
"300",0.742,42,100,5,TRUE
"300",0.667,38,100,6,TRUE
"300",0.707,27,100,7,TRUE
"300",0.742,44,100,8,TRUE
"300",0.441,39,100,9,TRUE
"50",0.455,38,100,1,TRUE
"50",0.418,28,100,10,TRUE
"50",0.371,41,100,11,TRUE
"50",0.374,41,100,12,TRUE
"50",0.287,35,100,13,TRUE
"50",0.455,33,100,14,TRUE
"50",0.52,32,100,15,TRUE
"50",0.455,34,100,16,TRUE
"50",0.375,39,100,17,TRUE
"50",0.438,34,100,18,TRUE
"50",0.375,34,100,19,TRUE
"50",0.392,24,100,2,TRUE
"50",0.287,35,100,20,TRUE
"50",0.284,41,100,21,TRUE
"50",0.375,33,100,22,TRUE
"50",0.336,32,100,23,TRUE
"50",0.426,37,100,24,TRUE
"50",0.455,38,100,25,TRUE
"50",0.495,34,100,26,TRUE
"50",0.459,26,100,27,TRUE
"50",0.418,41,100,28,TRUE
"50",0.495,43,100,29,TRUE
"50",0.455,39,100,3,TRUE
"50",0.42,37,100,30,TRUE
"50",0.478,43,100,31,TRUE
"50",0.377,40,100,32,TRUE
"50",0.304,35,100,33,TRUE
"50",0.495,42,100,34,TRUE
"50",0.365,37,100,35,TRUE
"50",0.316,36,100,36,TRUE
"50",0.254,38,100,37,TRUE
"50",0.128,36,100,38,TRUE
"50",0.348,35,100,39,TRUE
"50",0.52,39,100,4,TRUE
"50",0.271,38,100,40,TRUE
"50",0.288,41,100,41,TRUE
"50",0.328,28,100,42,TRUE
"50",0.455,34,100,43,TRUE
"50",0.371,29,100,44,TRUE
"50",0.371,36,100,45,TRUE
"50",0.392,35,100,46,TRUE
"50",0.251,36,100,47,TRUE
"50",0.323,41,100,48,TRUE
"50",0.474,33,100,49,TRUE
"50",0.455,35,100,5,TRUE
"50",0.357,41,100,50,TRUE
"50",0.316,34,100,51,TRUE
"50",0.316,33,100,52,TRUE
"50",0.478,34,100,53,TRUE
"50",0.319,36,100,54,TRUE
"50",0.285,34,100,55,TRUE
"50",0.361,34,100,56,TRUE
"50",0.433,38,100,57,TRUE
"50",0.361,38,100,58,TRUE
"50",0.371,37,100,59,TRUE
"50",0.135,34,100,6,TRUE
"50",0.463,41,100,60,TRUE
"50",0.392,37,100,7,TRUE
"50",0.438,39,100,8,TRUE
"50",0.418,36,100,9,TRUE
"500",0.923,41,100,1,TRUE
"500",0.923,35,100,10,TRUE
"500",0.923,40,100,11,TRUE
"500",0.923,45,100,12,TRUE
"500",0.923,36,100,13,TRUE
"500",0.718,35,100,14,TRUE
"500",0.923,41,100,2,TRUE
"500",0.718,47,100,3,TRUE
"500",0.923,39,100,4,TRUE
"500",0.923,35,100,5,TRUE
"500",0.923,40,100,6,TRUE
"500",0.923,33,100,7,TRUE
"500",0.718,43,100,8,TRUE
"500",0.923,45,100,9,TRUE
"6",0.155,24,100,1,TRUE
"6",0.151,23,100,10,TRUE
"6",0.108,24,100,11,TRUE
"6",0.143,24,100,12,TRUE
"6",0.075,20,100,13,TRUE
"6",0.083,20,100,14,TRUE
"6",0.153,25,100,15,TRUE
"6",0.158,23,100,16,TRUE
"6",0.183,18,100,17,TRUE
"6",0.07,24,100,18,TRUE
"6",0.063,20,100,19,TRUE
"6",0.124,22,100,2,TRUE
"6",0.081,20,100,20,TRUE
"6",0.072,16,100,21,TRUE
"6",0.026,19,100,22,TRUE
"6",0.076,17,100,23,TRUE
"6",0.108,17,100,24,TRUE
"6",0.072,19,100,25,TRUE
"6",0.084,15,100,26,TRUE
"6",0.082,26,100,27,TRUE
"6",0.096,23,100,28,TRUE
"6",0.063,17,100,29,TRUE
"6",0.105,22,100,3,TRUE
"6",0.092,21,100,30,TRUE
"6",0.075,25,100,31,TRUE
"6",0.041,21,100,32,TRUE
"6",0.072,20,100,33,TRUE
"6",0.105,17,100,34,TRUE
"6",0.094,18,100,35,TRUE
"6",0.094,24,100,36,TRUE
"6",0.079,22,100,37,TRUE
"6",0.146,23,100,38,TRUE
"6",0.063,22,100,39,TRUE
"6",0.038,20,100,4,TRUE
"6",0.15,19,100,40,TRUE
"6",0.198,17,100,5,TRUE
"6",0.146,17,100,6,TRUE
"6",0.143,24,100,7,TRUE
"6",0.18,19,100,8,TRUE
"6",0.084,20,100,9,TRUE
"8",0.141,24,100,1,TRUE
"8",0.141,23,100,10,TRUE
"8",0.12,17,100,11,TRUE
"8",0.177,19,100,12,TRUE
"8",0.1,25,100,13,TRUE
"8",0.095,20,100,14,TRUE
"8",0.116,26,100,15,TRUE
"8",0.029,18,100,16,TRUE
"8",0.146,18,100,17,TRUE
"8",0.146,24,100,18,TRUE
"8",0.172,21,100,19,TRUE
"8",0.072,25,100,2,TRUE
"8",0.045,21,100,20,TRUE
"8",0.194,21,100,21,TRUE
"8",0.194,22,100,22,TRUE
"8",0.12,21,100,23,TRUE
"8",0.194,21,100,24,TRUE
"8",0.037,27,100,25,TRUE
"8",0.163,27,100,26,TRUE
"8",0.163,24,100,27,TRUE
"8",0.016,19,100,28,TRUE
"8",0.193,26,100,3,TRUE
"8",0.14,27,100,4,TRUE
"8",0.176,27,100,5,TRUE
"8",0.097,20,100,6,TRUE
"8",0.092,22,100,7,TRUE
"8",0.205,21,100,8,TRUE
"8",0.14,19,100,9,TRUE
